date,close,ema_6,ema_7,ema_8,ema_9,ema_10,ema_11,ema_12,ema_13,ema_14,ema_15,ema_16,ema_17,ema_18,ema_19,ema_20,sma_6,sma_7,sma_8,sma_9,sma_10,sma_11,sma_12,sma_13,sma_14,sma_15,sma_16,sma_17,sma_18,sma_19,sma_20,wma_6,wma_7,wma_8,wma_9,wma_10,wma_11,wma_12,wma_13,wma_14,wma_15,wma_16,wma_17,wma_18,wma_19,wma_20,trima_6,trima_7,trima_8,trima_9,trima_10,trima_11,trima_12,trima_13,trima_14,trima_15,trima_16,trima_17,trima_18,trima_19,trima_20,t3_6,t3_7,t3_8,t3_9,t3_10,t3_11,t3_12,t3_13,t3_14,t3_15,t3_16,t3_17,t3_18,t3_19,t3_20,rsi_6,rsi_7,rsi_8,rsi_9,rsi_10,rsi_11,rsi_12,rsi_13,rsi_14,rsi_15,rsi_16,rsi_17,rsi_18,rsi_19,rsi_20,willr_6,willr_7,willr_8,willr_9,willr_10,willr_11,willr_12,willr_13,willr_14,willr_15,willr_16,willr_17,willr_18,willr_19,willr_20,adx_6,adx_7,adx_8,adx_9,adx_10,adx_11,adx_12,adx_13,adx_14,adx_15,adx_16,adx_17,adx_18,adx_19,adx_20,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12,mom_13,mom_14,mom_15,mom_16,mom_17,mom_18,mom_19,mom_20,cci_6,cci_7,cci_8,cci_9,cci_10,cci_11,cci_12,cci_13,cci_14,cci_15,cci_16,cci_17,cci_18,cci_19,cci_20,cmo_6,cmo_7,cmo_8,cmo_9,cmo_10,cmo_11,cmo_12,cmo_13,cmo_14,cmo_15,cmo_16,cmo_17,cmo_18,cmo_19,cmo_20,roc_6,roc_7,roc_8,roc_9,roc_10,roc_11,roc_12,roc_13,roc_14,roc_15,roc_16,roc_17,roc_18,roc_19,roc_20,mfi_6,mfi_7,mfi_8,mfi_9,mfi_10,mfi_11,mfi_12,mfi_13,mfi_14,mfi_15,mfi_16,mfi_17,mfi_18,mfi_19,mfi_20,trix_6,trix_7,trix_8,trix_9,trix_10,trix_11,trix_12,trix_13,trix_14,trix_15,trix_16,trix_17,trix_18,trix_19,trix_20,dx_6,dx_7,dx_8,dx_9,dx_10,dx_11,dx_12,dx_13,dx_14,dx_15,dx_16,dx_17,dx_18,dx_19,dx_20
2022-01-03,134.76829528808594,133.1084,132.895,132.6776,132.4629,132.2567,132.0635,131.8862,131.7267,131.5857,131.4633,131.3587,131.2713,131.1997,131.1429,131.0995,133.3086,133.1726,132.937,132.8315,132.5223,132.0515,131.8148,131.5769,131.2267,130.9179,130.5772,130.2389,130.0143,129.8017,129.6099,133.4551,133.3844,133.285,133.1943,133.0721,132.902,132.7348,132.5694,132.3903,132.2063,132.0146,131.8173,131.6275,131.4449,131.2702,133.2761,133.1729,133.0276,132.893,132.6851,132.3924,132.0965,131.8102,131.494,131.1754,130.8467,130.5127,130.1811,129.8705,129.5821,133.6129,133.3373,132.859,132.1993,131.4118,130.5655,129.7272,128.9508,128.2734,127.7158,127.2854,126.9797,126.7895,126.7021,126.7031,67.1538,66.5055,65.602,64.5473,63.4327,62.3229,61.2579,60.2596,59.3377,58.4945,57.7277,57.0326,56.4037,55.835,55.3206,-23.7875,-20.1172,-18.9687,-15.1694,-10.8193,-10.8193,-10.8193,-10.1378,-10.1378,-9.9613,-9.0989,-9.0989,-9.0989,-9.0989,-9.0989,36.2323,32.7017,28.8099,25.3391,22.3762,19.8668,17.8801,16.2407,15.0112,14.0076,13.1519,12.4214,11.8436,11.3356,10.8857,2.4067,3.4752,2.7762,5.023,7.4197,5.5523,6.0416,8.0888,8.1687,9.2971,9.9362,8.5681,8.7878,8.7978,9.835,68.1088,79.0348,90.0405,96.8817,89.0889,88.428,89.9419,90.372,90.5783,91.2435,91.9913,93.654,96.5274,99.9735,103.372,34.3076,33.011,31.2041,29.0946,26.8654,24.6457,22.5158,20.5192,18.6755,16.989,15.4553,14.0652,12.8075,11.67,10.6411,1.8183,2.647,2.1034,3.8716,5.8265,4.2971,4.6936,6.3855,6.4526,7.4101,7.96,6.7896,6.9758,6.9843,7.8725,70.0319,74.8015,79.2504,82.4723,85.0894,70.7904,72.9881,75.6383,77.5071,79.2375,80.646,74.8883,69.7414,71.7622,73.6554,0.3601,0.3523,0.321,0.2741,0.2195,0.1631,0.1091,0.06,0.0172,-0.0192,-0.0493,-0.0737,-0.093,-0.108,-0.1194,21.3471,22.3053,22.1591,21.2908,20.0093,18.532,16.9989,15.4939,14.0638,12.7315,11.5056,10.3862,9.3691,8.4474,7.6132
2022-01-04,135.57720947265625,133.8123,133.5643,133.3208,133.0847,132.8595,132.6482,132.4533,132.2761,132.1173,131.9769,131.8544,131.7491,131.66,131.5858,131.5255,133.7613,133.632,133.4725,133.2298,133.1055,132.7996,132.3449,132.1038,131.8623,131.5164,131.2088,130.871,130.5352,130.3068,130.0902,134.1018,133.9843,133.8706,133.7424,133.6266,133.4888,133.3128,133.1401,132.9697,132.7881,132.6023,132.4099,132.2126,132.022,131.838,133.5225,133.4775,133.3547,133.1934,133.0536,132.8645,132.5879,132.3158,132.0379,131.7413,131.4306,131.1115,130.7844,130.4736,130.1646,134.0167,133.7952,133.3939,132.8119,132.0874,131.2801,130.4538,129.6638,128.9512,128.3419,127.8486,127.4732,127.2107,127.0513,126.9826,70.2153,69.2128,68.0461,66.7857,65.5033,64.2516,63.0636,61.9568,60.938,60.0075,59.1616,58.3947,57.7003,57.0715,56.502,-11.6129,-11.6129,-9.9265,-9.3913,-7.5949,-5.4878,-5.4878,-5.4878,-5.1527,-5.1527,-5.0657,-4.6392,-4.6392,-4.6392,-4.6392,34.4265,31.7003,28.3438,25.1757,22.3705,19.9358,17.9662,16.3189,15.0601,14.0237,13.1376,12.3799,11.7756,11.2457,10.778,2.7162,3.2155,4.2841,3.585,5.8319,8.2286,6.3612,6.8505,8.8977,8.9776,10.106,10.7451,9.377,9.5967,9.6067,120.1429,130.4092,129.0296,131.446,135.3354,125.3303,116.3829,115.972,113.8497,111.3987,110.7354,109.2843,109.1016,110.8577,113.5414,40.4306,38.4256,36.0921,33.5715,31.0066,28.5032,26.1272,23.9135,21.876,20.015,18.3232,16.7895,15.4005,14.143,13.0039,2.0445,2.4295,3.2631,2.7162,4.4951,6.4617,4.9231,5.322,7.024,7.0916,8.0548,8.608,7.4306,7.6179,7.6264,72.5553,76.1512,79.2733,82.3806,84.7595,86.7775,73.5949,75.4039,77.6207,79.2076,80.6949,81.9185,76.4287,71.4772,73.2797,0.3654,0.3578,0.3312,0.2902,0.2408,0.1882,0.1365,0.0885,0.0456,0.0084,-0.023,-0.0491,-0.0702,-0.0871,-0.1004,25.397,25.6923,25.0814,23.8685,22.3192,20.6258,18.9134,17.2566,15.6957,14.2496,12.9238,11.716,10.6202,9.628,8.7305
2022-01-05,133.61985778808594,133.7559,133.5769,133.3862,133.1908,132.9968,132.8093,132.632,132.4673,132.3169,132.1816,132.0615,131.9564,131.8657,131.7887,131.7244,133.8162,133.7404,133.6298,133.4883,133.2683,133.1518,132.8675,132.4426,132.2118,131.9791,131.6476,131.3503,131.0234,130.6973,130.4722,134.0599,133.98,133.9022,133.8194,133.7192,133.6247,133.5082,133.356,133.2034,133.0504,132.8853,132.7148,132.5367,132.3528,132.1737,133.8087,133.6211,133.5654,133.4814,133.3259,133.1807,133.0004,132.7526,132.4939,132.2369,131.9512,131.6593,131.3492,131.0328,130.7277,134.3133,134.1606,133.8435,133.3471,132.6962,131.9415,131.1425,130.3546,129.6219,128.9745,128.4299,127.9946,127.6674,127.4416,127.3074,55.2595,56.3539,56.8715,56.9903,56.8485,56.5467,56.1546,55.719,55.2699,54.8261,54.3987,53.9941,53.6151,53.2627,52.9367,-63.0901,-63.0901,-63.0901,-55.5556,-53.0686,-44.3573,-33.3636,-33.3636,-33.3636,-31.5315,-31.5315,-31.052,-28.6773,-28.6773,-28.6773,35.2209,32.5125,29.2105,26.0385,23.1841,20.6771,18.6167,16.8786,15.5261,14.405,13.4457,12.6251,11.9643,11.387,10.8794,0.3295,0.7589,1.2583,2.3268,1.6277,3.8746,6.2713,4.4039,4.8932,6.9404,7.0203,8.1487,8.7878,7.4197,7.6394,66.8202,76.5122,83.863,89.169,92.5687,96.8406,97.9806,94.202,94.5399,94.9787,94.687,94.6601,94.8095,94.97,96.6213,10.5189,12.7078,13.7429,13.9806,13.697,13.0934,12.3093,11.438,10.5398,9.6521,8.7974,7.9881,7.2302,6.5254,5.8734,0.2472,0.5713,0.9507,1.7723,1.2333,2.9865,4.9247,3.4083,3.8014,5.4789,5.5455,6.4947,7.04,5.8796,6.0642,51.5003,56.6312,61.1978,65.3877,69.7832,73.3119,76.424,66.0107,68.1142,70.733,72.6362,74.4418,75.9436,71.2022,66.8857,0.3342,0.3386,0.3231,0.2918,0.2503,0.2037,0.1561,0.1106,0.0689,0.0319,-0.0,-0.027,-0.0494,-0.0678,-0.0825,39.1931,37.3855,35.2777,32.9405,30.5065,28.0907,25.7719,23.5959,21.5842,19.7425,18.0667,16.5474,15.1728,13.93,12.8064
2022-01-06,129.515380859375,132.5429,132.5603,132.5249,132.4547,132.363,132.2595,132.1517,132.0449,131.9427,131.8477,131.7614,131.6847,131.6178,131.5609,131.5136,133.242,133.2011,133.2116,133.1721,133.0906,132.9267,132.8484,132.6093,132.2332,132.0317,131.8248,131.5219,131.2481,130.9438,130.638,132.8297,132.9226,132.9868,133.0239,133.036,133.0178,132.9917,132.9371,132.8432,132.7418,132.6339,132.5103,132.3775,132.2341,132.0821,133.7879,133.6978,133.5699,133.4594,133.4071,133.3119,133.1895,133.0291,132.8086,132.5836,132.3452,132.0868,131.8106,131.5233,131.2199,134.1419,134.1736,134.0146,133.6563,133.1204,132.4534,131.7129,130.9549,130.2265,129.5624,128.9847,128.5046,128.125,127.8428,127.6507,35.9768,38.7441,40.8103,42.3405,43.4672,44.2945,44.9016,45.3475,45.6757,45.9181,46.0978,46.2316,46.3319,46.4075,46.465,-96.648,-96.648,-96.648,-96.648,-96.648,-96.648,-93.965,-70.6764,-70.6764,-70.6764,-66.7954,-66.7954,-65.7795,-60.7491,-60.7491,33.094,30.3146,27.2009,24.2781,21.6724,19.3927,17.5218,15.9445,14.719,13.7041,12.8351,12.0911,11.4929,10.9694,10.5082,-3.4452,-3.7748,-3.3454,-2.8461,-1.7775,-2.4766,-0.2297,2.167,0.2996,0.7889,2.8361,2.916,4.0444,4.6835,3.3154,-148.2545,-149.1515,-169.6494,-169.8566,-152.8697,-137.1968,-121.0356,-85.2343,-60.0932,-47.0077,-33.8017,-21.7353,-12.4494,-3.7898,3.3782,-28.0465,-22.5119,-18.3793,-15.319,-13.0655,-11.4109,-10.1968,-9.305,-8.6485,-8.1638,-7.8044,-7.5367,-7.3363,-7.1851,-7.07,-2.5913,-2.8321,-2.518,-2.1503,-1.3539,-1.8764,-0.177,1.7017,0.2319,0.6129,2.2389,2.3034,3.2235,3.752,2.6272,45.7165,42.4318,47.545,52.2618,56.7344,61.5832,65.5974,69.2316,60.575,62.8255,65.6597,67.7423,69.7364,71.4084,67.2007,0.2156,0.2578,0.2693,0.2582,0.232,0.1968,0.1575,0.1178,0.08,0.0454,0.0147,-0.0118,-0.0343,-0.0531,-0.0685,22.4597,17.1275,13.1333,10.1952,8.0677,6.5483,5.4777,4.7344,4.2277,3.8912,3.6761,3.5471,3.4787,3.4523,3.4545
2022-01-07,131.60256958007812,132.2728,132.3196,132.3188,132.2833,132.2238,132.1492,132.0665,131.981,131.8967,131.8165,131.7421,131.675,131.6157,131.5646,131.5216,132.796,133.0071,133.0007,133.0323,133.0147,132.9548,132.8159,132.7522,132.537,132.1908,132.0046,131.8114,131.5261,131.2665,130.9765,132.3599,132.5217,132.6281,132.709,132.7646,132.7963,132.7993,132.7926,132.7585,132.6875,132.6072,132.5188,132.4143,132.2995,132.1735,133.2853,133.4844,133.473,133.4582,133.3848,133.3053,133.2382,133.1634,133.0264,132.8326,132.6299,132.4215,132.1814,131.931,131.6589,133.7351,133.9595,133.976,133.7761,133.3772,132.821,132.1622,131.4569,130.7544,130.0931,129.4997,128.9899,128.5708,128.2426,128.0012,47.2163,48.3242,49.1553,49.7327,50.1033,50.3162,50.4139,50.4305,50.3916,50.3163,50.2182,50.1071,49.9897,49.8707,49.7531,-55.8607,-55.8607,-55.8607,-55.8607,-55.8607,-55.8607,-55.8607,-55.8607,-51.7022,-51.7022,-51.7022,-48.8631,-48.8631,-48.12,-44.4401,34.0706,30.6859,27.3113,24.275,21.6271,19.3409,17.472,15.9035,14.6819,13.6718,12.8092,12.0718,11.4776,10.9582,10.5011,-2.6763,-1.3581,-1.6877,-1.2583,-0.7589,0.3096,-0.3895,1.8574,4.2541,2.3867,2.876,4.9232,5.0031,6.1315,6.7706,-104.3655,-116.956,-128.76,-142.2162,-151.8489,-147.6115,-140.9479,-128.5413,-95.7844,-73.9861,-62.0663,-48.8164,-36.3086,-26.5228,-17.1255,-5.5675,-3.3517,-1.6894,-0.5346,0.2067,0.6324,0.8279,0.861,0.7832,0.6326,0.4364,0.2142,-0.0206,-0.2587,-0.4937,-1.9932,-1.0215,-1.2662,-0.9471,-0.5734,0.2358,-0.2951,1.4317,3.3407,1.8471,2.2343,3.8865,3.952,4.887,5.424,32.3273,38.0108,35.7123,40.5866,45.208,49.7055,54.7133,58.967,62.9055,55.6761,58.0124,60.9856,63.1928,65.3241,67.125,0.1211,0.185,0.2157,0.2211,0.2085,0.1841,0.1532,0.1197,0.0862,0.0546,0.0258,0.0003,-0.0218,-0.0406,-0.0564,38.9531,32.9135,28.0842,24.2506,21.2192,18.8229,16.9238,15.4114,14.199,13.2194,12.4208,11.7635,11.217,10.7578,10.3678
2022-01-10,128.7264404296875,131.2582,131.4201,131.5195,131.571,131.587,131.5779,131.5519,131.5154,131.4734,131.4296,131.3868,131.3468,131.3111,131.2803,131.2549,132.2967,132.2139,132.4714,132.5252,132.6012,132.6244,132.6021,132.501,132.4643,132.2827,131.974,131.8114,131.6398,131.3785,131.1393,131.1958,131.4503,131.6772,131.8468,131.984,132.0907,132.1694,132.2168,132.2498,132.2539,132.221,132.1755,132.1191,132.045,131.9587,132.2667,132.6793,132.9597,133.1391,133.1824,133.2035,133.1612,133.0919,133.0447,132.957,132.7925,132.6183,132.4319,132.2234,131.9919,133.0247,133.4642,133.6804,133.6636,133.4268,133.0068,132.4551,131.8271,131.1739,130.5371,129.9475,129.4251,128.9811,128.6195,128.3391,36.5934,38.6152,40.2242,41.4872,42.4702,43.2324,43.8232,44.2823,44.6408,44.9225,45.1457,45.3241,45.4682,45.5859,45.6832,-84.1099,-84.1099,-84.1099,-84.1099,-84.1099,-84.1099,-84.1099,-84.1099,-84.1099,-77.8484,-77.8484,-77.8484,-73.5736,-73.5736,-72.4546,34.8843,31.0041,27.4079,24.2723,21.5863,19.2938,17.4263,15.8656,14.6474,13.6416,12.7849,12.0537,11.4631,10.9477,10.4945,-2.9958,-5.5523,-4.2341,-4.5637,-4.1343,-3.635,-2.5664,-3.2655,-1.0186,1.3781,-0.4893,0.0,2.0472,2.1271,3.2555,-87.4437,-101.6741,-112.7524,-126.3367,-137.7484,-151.4618,-151.7887,-148.5296,-139.7297,-113.1809,-94.4355,-83.4037,-70.5079,-57.4744,-47.2842,-26.8131,-22.7696,-19.5516,-17.0256,-15.0595,-13.5352,-12.3537,-11.4354,-10.7185,-10.155,-9.7086,-9.3518,-9.0636,-8.8283,-8.6337,-2.2745,-4.1351,-3.1846,-3.424,-3.1118,-2.7463,-1.9548,-2.4741,-0.7851,1.0822,-0.3787,0.0,1.6161,1.6802,2.5947,29.2156,26.2981,31.4137,29.8271,34.327,38.7,43.0589,48.0365,52.3715,56.4758,50.5794,52.9574,56.0172,58.3133,60.5508,0.0005,0.0899,0.1426,0.1668,0.1697,0.158,0.1371,0.1112,0.0836,0.0561,0.0303,0.0067,-0.0142,-0.0323,-0.0478,38.9531,32.9135,28.0842,24.2506,21.2192,18.8229,16.9238,15.4114,14.199,13.2194,12.4208,11.7635,11.217,10.7578,10.3678
2022-01-11,130.62388610839844,131.0756,131.2198,131.3194,131.3806,131.411,131.4181,131.4084,131.3873,131.3595,131.3283,131.2965,131.266,131.2382,131.2141,131.1944,131.6059,132.057,132.0146,132.2656,132.3346,132.421,132.4573,132.4495,132.3666,132.3413,132.1787,131.8943,131.7452,131.5861,131.3405,130.7165,131.0516,131.2656,131.4656,131.6236,131.7565,131.8643,131.9479,132.0037,132.0459,132.0615,132.043,132.0116,131.9691,131.9092,131.1824,131.7281,132.1658,132.5303,132.7514,132.9197,132.9752,133.0034,132.9625,132.916,132.8523,132.734,132.583,132.4222,132.2335,132.2871,132.8712,133.2521,133.4036,133.3268,133.0493,132.6163,132.0805,131.4929,130.8971,130.3272,129.8069,129.3513,128.9677,128.6583,46.1795,46.8363,47.4262,47.8984,48.2494,48.4946,48.6542,48.748,48.7927,48.8019,48.786,48.753,48.7088,48.6577,48.6029,-65.4733,-65.4733,-65.4733,-65.4733,-65.4733,-65.4733,-65.4733,-65.4733,-65.4733,-65.4733,-60.5992,-60.5992,-60.5992,-57.2716,-57.2716,36.3671,31.9264,28.0254,24.7127,21.9213,19.5658,17.6533,16.0621,14.8161,13.7887,12.9162,12.1729,11.5707,11.0461,10.5857,-4.1443,-1.0985,-3.6549,-2.3368,-2.6663,-2.2369,-1.7376,-0.6691,-1.3681,0.8788,3.2755,1.408,1.8974,3.9445,4.0244,-65.1671,-72.9983,-82.7786,-91.1104,-100.8403,-110.0499,-119.8408,-123.1875,-123.1981,-119.4449,-100.6689,-85.8807,-76.7414,-65.7009,-54.1137,-7.6411,-6.3273,-5.1475,-4.2032,-3.5011,-3.0108,-2.6916,-2.504,-2.4146,-2.3962,-2.4279,-2.4939,-2.5824,-2.6845,-2.7941,-3.0752,-0.834,-2.722,-1.7575,-2.0004,-1.6837,-1.3128,-0.5096,-1.0365,0.6773,2.5721,1.0897,1.474,3.1139,3.179,27.49,36.7432,33.429,37.6308,35.8946,39.6709,43.3812,47.1201,51.44,55.2465,58.8892,53.048,55.1995,57.9832,60.0835,-0.0723,0.0215,0.084,0.1196,0.1337,0.132,0.1196,0.1007,0.0785,0.0552,0.0324,0.011,-0.0085,-0.0257,-0.0407,43.7811,37.4598,32.3481,28.2362,24.9361,22.2858,20.1501,18.42,17.0087,15.8482,14.8858,14.0802,13.3994,12.8186,12.3183
2022-01-12,132.32159423828125,131.4302,131.494,131.541,131.5678,131.5757,131.5679,131.5481,131.5201,131.4871,131.4518,131.4165,131.3827,131.3517,131.3244,131.3012,131.0634,131.7075,132.0894,132.0481,132.2707,132.333,132.4123,132.4465,132.44,132.3632,132.3397,132.1868,131.9177,131.7753,131.6226,130.9195,131.1165,131.3327,131.4758,131.6203,131.7391,131.8427,131.9289,131.9971,132.0428,132.0778,132.0899,132.0718,132.0421,132.0022,130.5957,131.0902,131.5452,131.8433,132.2008,132.47,132.6545,132.7941,132.8414,132.8534,132.8241,132.7629,132.6654,132.5518,132.4084,131.7827,132.3826,132.8454,133.1134,133.1662,133.0155,132.6962,132.2545,131.7389,131.1931,130.653,130.1452,129.6879,129.2916,128.9612,53.6957,53.3571,53.193,53.0739,52.9484,52.8007,52.6304,52.4426,52.2439,52.0402,51.8365,51.6364,51.4426,51.2566,51.0796,-48.7984,-48.7984,-48.7984,-48.7984,-48.7984,-48.7984,-48.7984,-48.7984,-48.7984,-48.7984,-48.7984,-45.1657,-45.1657,-45.1657,-42.6855,31.9539,28.7026,25.58,22.8054,20.404,18.342,16.6496,15.2297,14.1133,13.1891,12.401,11.7272,11.1809,10.7036,10.2832,-3.2555,-2.4466,0.5992,-1.9573,-0.6391,-0.9687,-0.5393,-0.0399,1.0286,0.3295,2.5764,4.9731,3.1057,3.595,5.6422,23.6575,-2.7399,-12.3961,-16.0336,-23.8266,-27.4989,-32.6136,-36.0714,-36.1191,-34.5108,-30.9851,-19.8687,-10.5677,-4.2603,2.9588,7.3915,6.7142,6.3859,6.1478,5.8968,5.6015,5.2608,4.8852,4.4878,4.0805,3.6731,3.2729,2.8851,2.5132,2.1593,-2.4013,-1.8155,0.4549,-1.4577,-0.4807,-0.7268,-0.4059,-0.0302,0.7834,0.2497,1.9858,3.9053,2.4036,2.7929,4.4541,24.8969,35.1704,42.6685,39.1506,42.6804,40.8638,44.0921,47.293,50.5479,54.346,57.7264,60.9913,55.2217,57.1827,59.7325,-0.0817,-0.0053,0.0528,0.0904,0.1094,0.1136,0.1069,0.0931,0.0751,0.0551,0.0348,0.0153,-0.0029,-0.0193,-0.0338,9.8876,9.3598,8.4621,7.5469,6.7487,6.1043,5.6087,5.2411,4.9771,4.7941,4.6727,4.5973,4.5553,4.5373,4.5359
2022-01-13,130.66383361816406,131.2098,131.2853,131.345,131.386,131.409,131.4164,131.4113,131.3971,131.3767,131.3527,131.3274,131.3023,131.2788,131.2578,131.2401,130.5707,131.0056,131.5764,131.9305,131.9092,132.1242,132.1935,132.2775,132.3188,132.3213,132.2567,132.2409,132.1019,131.8515,131.7195,130.804,130.8544,131.0148,131.198,131.3273,131.4601,131.5729,131.6736,131.7596,131.8298,131.88,131.9201,131.9393,131.9305,131.9104,130.5016,130.5915,130.988,131.3927,131.6665,131.9291,132.1987,132.4189,132.5706,132.6833,132.7115,132.7248,132.6797,132.5898,132.4934,131.4047,131.9624,132.4556,132.8009,132.9564,132.9166,132.7035,132.355,131.915,131.4259,130.9238,130.4374,129.9873,129.5868,129.2433,46.1446,46.8156,47.3918,47.8522,48.2,48.4498,48.6197,48.7268,48.7863,48.8102,48.8085,48.7884,48.7558,48.715,48.669,-46.7862,-65.0809,-65.0809,-65.0809,-65.0809,-65.0809,-65.0809,-65.0809,-65.0809,-65.0809,-65.0809,-65.0809,-60.236,-60.236,-60.236,27.9628,25.7133,23.2704,20.978,18.9333,17.1439,15.6586,14.4017,13.4099,12.5857,11.88,11.2746,10.7835,10.3529,9.9725,-2.9559,-4.9132,-4.1043,-1.0585,-3.615,-2.2968,-2.6264,-2.197,-1.6976,-0.6291,-1.3282,0.9187,3.3154,1.448,1.9373,69.7966,7.4649,-14.4619,-22.86,-26.9867,-33.8432,-37.9018,-42.8778,-46.762,-47.7673,-46.9905,-44.0946,-32.8352,-23.1349,-16.621,-7.7109,-6.3689,-5.2164,-4.2957,-3.6001,-3.1004,-2.7606,-2.5463,-2.4275,-2.3795,-2.3831,-2.4231,-2.4883,-2.57,-2.6619,-2.2123,-3.624,-3.0456,-0.8036,-2.6923,-1.7275,-1.9705,-1.6536,-1.2826,-0.4792,-1.0063,0.7081,2.6035,1.1206,1.505,27.4076,22.6743,32.4266,39.698,36.6353,40.0876,38.4809,41.6536,44.8193,48.0593,51.8665,55.2794,58.5977,53.2522,55.2296,-0.0934,-0.0299,0.024,0.0626,0.0853,0.0944,0.0928,0.0836,0.0696,0.053,0.0353,0.0177,0.001,-0.0144,-0.0283,8.0075,7.778,7.1027,6.3589,5.6966,5.1624,4.7576,4.466,4.2666,4.1389,4.0655,4.0318,4.0267,4.0412,4.0688
2022-01-14,130.26437377929688,130.9383,131.0288,131.1037,131.1607,131.2,131.2236,131.2341,131.2346,131.2277,131.2161,131.2017,131.1864,131.1715,131.158,131.1467,130.6955,130.5263,130.9123,131.4301,131.7634,131.7592,131.9688,132.0447,132.1333,132.1815,132.1924,132.1392,132.1308,132.005,131.7719,130.715,130.6678,130.7222,130.8638,131.0273,131.1493,131.2754,131.3853,131.485,131.5721,131.6451,131.7,131.7453,131.7713,131.7713,130.7854,130.6171,130.6659,130.8934,131.2464,131.5047,131.7529,131.9598,132.1824,132.3633,132.4865,132.5691,132.5954,132.5881,132.5146,131.0804,131.5788,132.0734,132.468,132.704,132.7599,132.6447,132.3868,132.0241,131.5962,131.1389,130.6815,130.2465,129.8495,129.5001,44.3415,45.2558,46.01,46.6091,47.0698,47.4142,47.6649,47.8419,47.9625,48.0404,48.0865,48.1091,48.1147,48.1082,48.0933,-45.0435,-52.7653,-69.0044,-69.0044,-69.0044,-69.0044,-69.0044,-69.0044,-69.0044,-69.0044,-69.0044,-69.0044,-69.0044,-63.8675,-63.8675,28.2317,25.8005,23.2938,20.9808,18.9338,17.1509,15.6704,14.419,13.4274,12.6032,11.8983,11.294,10.8024,10.3719,9.9917,0.749,-3.3554,-5.3126,-4.5038,-1.458,-4.0144,-2.6963,-3.0258,-2.5964,-2.0971,-1.0286,-1.7276,0.5193,2.916,1.0485,-52.532,-60.9524,-66.4127,-68.4434,-71.7204,-77.1606,-80.4141,-86.0703,-91.0178,-96.8725,-101.5253,-103.7675,-103.025,-90.3184,-78.6823,-11.3171,-9.4884,-7.98,-6.7819,-5.8604,-5.1716,-4.6703,-4.3161,-4.0749,-3.9192,-3.8271,-3.7819,-3.7706,-3.7836,-3.8133,0.5783,-2.5112,-3.9187,-3.342,-1.1069,-2.9897,-2.0279,-2.2702,-1.9543,-1.5844,-0.7834,-1.3089,0.4002,2.2898,0.8115,28.9133,24.261,20.4771,29.6468,36.6327,34.0091,37.3599,35.9606,39.0574,42.1684,45.3743,49.1701,52.5995,55.9583,51.0634,-0.1087,-0.0541,-0.0037,0.0354,0.0611,0.0743,0.0772,0.0724,0.0623,0.0489,0.0338,0.0184,0.0032,-0.0111,-0.0242,29.576,26.3237,23.4577,21.0025,18.938,17.2209,15.8003,14.6264,13.6547,12.8473,12.1726,11.6051,11.124,10.7127,10.3581
